"Transparencia","giroscopio X","giroscopio Y","Vermelho","Verde","Azul","Branco","Label"
979,917,864,2,2,2,7,'N/A'
979,916,866,2,2,2,7,'N/A'
979,911,862,2,2,2,7,'N/A'
980,907,859,2,2,2,7,'N/A'
978,918,864,2,2,2,7,'N/A'
979,922,857,2,2,2,7,'N/A'
978,923,862,2,2,2,7,'N/A'
979,919,859,2,2,2,7,'N/A'
979,916,854,2,2,2,7,'N/A'
979,909,845,2,2,2,7,'N/A'
980,908,860,2,2,2,7,'N/A'
978,912,845,2,2,2,7,'N/A'
979,921,857,2,2,2,7,'N/A'
978,929,863,2,2,2,7,'N/A'
977,919,872,2,2,2,7,'N/A'
979,908,859,2,2,2,7,'N/A'
978,921,868,2,2,2,7,'N/A'
978,919,869,2,2,2,7,'N/A'
979,907,862,2,2,2,7,'N/A'
978,909,859,2,2,2,7,'N/A'
979,923,857,2,2,2,7,'N/A'
978,926,862,2,2,2,7,'N/A'
979,923,861,2,2,2,7,'N/A'
978,929,874,2,2,2,7,'N/A'
979,907,848,2,2,2,7,'N/A'
979,921,857,2,2,2,7,'N/A'
978,928,863,2,2,2,7,'N/A'
978,927,864,2,2,2,7,'N/A'
980,921,874,2,2,2,7,'N/A'
979,909,852,2,2,2,7,'N/A'
979,920,854,2,2,2,7,'N/A'
978,917,869,2,2,2,7,'N/A'
978,915,867,2,2,2,7,'N/A'
979,916,846,2,2,2,7,'N/A'
978,909,841,2,2,2,7,'N/A'
978,921,848,2,2,2,7,'N/A'
979,924,854,2,2,2,7,'N/A'
977,917,850,2,2,2,7,'N/A'
979,912,858,2,2,2,7,'N/A'
977,912,842,2,2,2,7,'N/A'
979,915,843,2,2,2,7,'N/A'
978,919,862,2,2,2,7,'N/A'
979,925,852,2,2,2,7,'N/A'
978,921,852,2,2,2,7,'N/A'
979,924,857,2,2,2,7,'N/A'
978,920,851,2,2,2,7,'N/A'
979,915,859,2,2,2,7,'N/A'
980,915,864,2,2,2,7,'N/A'
980,917,874,2,2,2,7,'N/A'
978,913,865,2,2,2,7,'N/A'
979,926,860,2,2,2,7,'N/A'
978,918,847,2,2,2,7,'N/A'
979,918,849,2,2,2,7,'N/A'
978,927,863,2,2,2,7,'N/A'
978,932,872,2,2,2,7,'N/A'
978,927,865,2,2,2,7,'N/A'
979,917,851,2,2,2,7,'N/A'
